Output file: output/wt_090123.root input file:/disk03/lowe10/sk7/sle/lomugd.090123.root
 Id of this manager : 10
InitReadRoot: total = 20109475
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 13957.7 13112 12053.1
0/20109475
Sec_Event 444801 N50: 53
T: -0.141209 Q: 1.19358
T: -0.255351 Q: -0.029379
T: -0.364264 Q: -0.0328149
T: -0.464639 Q: -0.032825
T: -0.553426 Q: -0.0277783
T: -0.627926 Q: -0.0278671
T: -0.685878 Q: 3.05113
T: -0.725519 Q: 0.969986
T: -0.745645 Q: 0.907972
T: -0.745645 Q: -0.00786113
T: -0.725519 Q: 0.969547
T: -0.685878 Q: 2.13114
T: -0.627926 Q: -0.00225161
T: -0.553426 Q: 1.03095
T: -0.464639 Q: -0.000740677
T: -0.364264 Q: -0.00067764
T: -0.255351 Q: 1.11044
T: -0.0253061 Q: 1.32621
T: 0.197749 Q: 1.23188
T: 0.298124 Q: -0.000326896
T: 0.38691 Q: -0.0019024
T: 0.461411 Q: 2.11784
T: 0.519363 Q: -0.00130571
T: 0.559004 Q: -0.00465866
T: 0.57913 Q: -0.00737736
T: 0.57913 Q: -0.00809682
T: 0.559004 Q: -0.014161
T: 0.519363 Q: -0.0169399
T: 0.461411 Q: -0.0201501
T: 0.38691 Q: 1.90768
T: 0.298124 Q: -0.0248855
T: 0.197749 Q: -0.0217281
T: 0.0888359 Q: 1.32964
T: -0.0253061 Q: 2.20703
Sec_Event 444801 N50: 39
T: -0.552195 Q: 0.955165
T: -0.635777 Q: -0.0141393
T: -0.715529 Q: 1.06975
T: -0.78903 Q: 1.068
T: -0.854045 Q: -0.0164693
T: -0.908599 Q: -0.0163111
T: -0.951034 Q: -0.0183621
T: -0.980062 Q: -0.0147106
T: -0.994799 Q: -0.0115049
T: -0.994799 Q: -0.0165275
T: -0.980062 Q: -0.0136282
T: -0.951034 Q: 1.21628
T: -0.908599 Q: -0.0167355
T: -0.854045 Q: -0.0179361
T: -0.78903 Q: -0.0261646
T: -0.715529 Q: 1.18181
T: -0.635777 Q: 2.38622
T: -0.552195 Q: -0.0508933
T: -0.467324 Q: 2.36466
T: -0.383743 Q: -0.0511945
T: -0.30399 Q: -0.0677123
T: -0.23049 Q: 2.71276
T: -0.165475 Q: -0.0517576
T: -0.110921 Q: -0.0431889
T: -0.0684853 Q: 1.43163
T: -0.0394577 Q: 2.86431
T: -0.02472 Q: -0.0398629
T: -0.02472 Q: -0.0389168
T: -0.0394577 Q: -0.0288596
T: -0.0684853 Q: -0.0320672
T: -0.110921 Q: -0.02083
T: -0.165475 Q: -0.0236797
T: -0.23049 Q: -0.0170637
T: -0.30399 Q: 1.15517
T: -0.383743 Q: -0.0153598
T: -0.467324 Q: 0.998241
Sec_Event 661512 N50: 32
T: -0.466486 Q: -0.052478
T: -0.561429 Q: -0.0475779
T: -0.652022 Q: -0.0515249
T: -0.735513 Q: -0.0765588
T: -0.809365 Q: 0.922702
T: -0.871334 Q: -0.0736694
T: -0.919538 Q: -0.0637534
T: -0.952511 Q: -0.0601043
T: -0.969252 Q: 1.3105
T: -0.969252 Q: -0.058105
T: -0.952511 Q: 1.28936
T: -0.919538 Q: -0.0727367
T: -0.871334 Q: 2.28495
T: -0.809365 Q: 0.951369
T: -0.735513 Q: -0.0654428
T: -0.652022 Q: -0.0509766
T: -0.561429 Q: -0.0470816
T: -0.466486 Q: -0.0509825
T: -0.370079 Q: 1.11049
T: -0.275137 Q: 2.57145
T: -0.184543 Q: -0.0305257
T: -0.101052 Q: -0.0344143
T: -0.0272003 Q: -0.0433704
T: 0.034769 Q: -0.0341426
T: 0.0829726 Q: -0.0333852
T: 0.115946 Q: -0.0348153
T: 0.132687 Q: -0.0297739
T: 0.132687 Q: -0.0368481
T: 0.115946 Q: -0.0368343
T: 0.0829726 Q: -0.0393742
T: 0.034769 Q: -0.0404309
T: -0.0272003 Q: -0.0439227
T: -0.101052 Q: -0.0328978
T: -0.184543 Q: -0.0397771
T: -0.275137 Q: -0.0368654
T: -0.370079 Q: -0.0432017
Sec_Event 661512 N50: 38
T: -0.401117 Q: -0.0459467
T: -0.502473 Q: -0.0508855
T: -0.599186 Q: 2.33734
T: -0.688318 Q: -0.0685383
